2024-06-04 21:40:55.817 [main] INFO  com.yuunik.eduservice.EduApplication - Starting EduApplication on LAPTOP-BE590U33 with PID 14720 (D:\Zhou\full-stack\project\edu-system\edu-back-end\service\service-edu\target\classes started by ZHJT in D:\Zhou\full-stack\project\edu-system\edu-back-end)
2024-06-04 21:40:55.820 [main] INFO  com.yuunik.eduservice.EduApplication - The following profiles are active: dev
2024-06-04 21:40:57.044 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2024-06-04 21:40:57.048 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2024-06-04 21:40:57.084 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10ms. Found 0 repository interfaces.
2024-06-04 21:40:57.450 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-06-04 21:40:57.777 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2024-06-04 21:40:57.790 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2024-06-04 21:40:57.790 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-06-04 21:40:57.791 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2024-06-04 21:40:57.945 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-06-04 21:40:57.945 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2073 ms
2024-06-04 21:40:58.362 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-06-04 21:40:58.614 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2024-06-04 21:40:58.642 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2024-06-04 22:59:43.708 [main] INFO  com.yuunik.eduservice.EduApplication - Starting EduApplication on LAPTOP-BE590U33 with PID 24632 (D:\Zhou\full-stack\project\edu-system\edu-back-end\service\service-edu\target\classes started by ZHJT in D:\Zhou\full-stack\project\edu-system\edu-back-end)
2024-06-04 22:59:43.711 [main] INFO  com.yuunik.eduservice.EduApplication - The following profiles are active: dev
2024-06-04 22:59:44.763 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2024-06-04 22:59:44.766 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2024-06-04 22:59:44.788 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8ms. Found 0 repository interfaces.
2024-06-04 22:59:45.084 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-06-04 22:59:45.330 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2024-06-04 22:59:45.340 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2024-06-04 22:59:45.341 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
